str,pl_PL,en_US
do_you_want_report_a_comment,Z jakiego powodu chcesz zgłosić komentarz?,For what reason do you want to submit a comment?
report_comment,Zgłoś komentarz," Report comment"
report,Zgłoś,Report
yes,Tak,Yes
no,Nie,No
dietitian,Dietetyk,Dietitian
facebook,Facebook,Facebook
undo,Cofnij,undo
removed,Usunięto,Removed
diets,Diety,Diets
recipe_create,Stwórz nowy przepis,Create new recipes
enter_youtube_id,Wprowadź <id> lub <link> swojego filmu,Enter <id> or <link> your video
recipe_name,Nazwa Przepisu,Recipe Name
recipe_description,Opis przepisu,Recipe Description
time,Czas,Time
portions,Porcje,Portions
key_words,Słowa kluczowe,Key words
ingredients_per_100,Składniki na 100,Ingredients per 100
ingredients,Składniki,Ingredients
edit_recipe,Edytuj przepis,Edit recipe
add_portions,Dodaj Porcje,Add portions
package,Opakowanie,Package
portion,Porcja,Portion
glass,Szklanka,a glass
teaspoon,Łyżeczka,Teaspoon
spoon,Łyżka,Spoon
add_new_product,Dodaj nowy produkt,Add new product
product_name,Nazwa produktu,
category_primary,Kategoria główna,Category primary
category_secondary,Kategoria drugorzędna,Category secondary
fruits_vegetables_mushrooms,"Owoce, warzywa i grzyby",fruits_vegetables_mushrooms
dairy_eggs,Nabiał i jaja,"Diary and eggs "
meat,Mięso,Meat
groceries,Artykuły spożywcze,Groceries
frozen_foods,Mrożonki,Frozen foods
supplements,Suplementy,Supplements
drinks,Napoje,Drinks
other,Inne,Other
fruits,Owoce,Fruits
vegetables,Warzywa,Vegetables
mushrooms,Grzyby,Mushrooms
milk_cream,Melko i śmietana," Milk and cream"
butter_margarine,Masło i margaryna,Butter and margarine
yogurt_desserts,Jogurty i serki," Yogurt and desserts"
cheeses,Sery,Cheeses
cottage_cheeses,Serki wiejskie,Cottage cheeses
eggs,Jaja,Eggs
poultry,Drób,Poultry
beef,Wołowina,Beef
pork,Wieprzowina,Pork
rabbit,Królik,Rabbit
venison,Dziczyzna,Venison
fishes_seafood,Owoce morza,Fishes seafood
sausages,Wędlina i kiełbasy,Sausages
ready_meals,Gotowe produkty,Ready meals
canned,Konserwy,Canned
preserves,Przetwory,Preserves
spices,Przyprawy,Spices
sauces_oils_vinegar,Sosy oleje i oliwa z oliwek,Sauces oils vinegar
loose_grain_products,Produkty sypkie i zbożowe,Loose grain products
snacks_sweets,Słodkie przekąski,Snacks sweets
bread,Chleb,Bread
ready_meals,Produkty gotowe,Ready meals
fishes_seafood,Ryby,Fishes seafood
vegetables_fruits,Owoce i warzywa,Vegetables fruits
search_trainings,Szukaj tylko treningów,Search trainings
search_exercises,Szukaj tylko ćwiczeń,Search exercises
search_recipes,Szukaj tylko przepisów,Search recipes
search_products,Szukaj tylko produktów,Search products
search_product_only_with_barcode,Szukaj tylko produktów z kodem kreskowym,
search_verification_product_only,Szukaj tylko zweryfikowanych produktów,Search verification products only
search_term_must_be_longer_than_two_letters,Wyszukiwane hasło musi być dłuższe niż dwie litery.,Search term must be longer than two letters.
error,Błąd,Error
loading,Ładowanie,Loading
random_recipe,Losowy przepis,Random recipes
random_dietitian,Losowy dietetyk,Random dietitian
best_dietitians,Najlepsi dietetycy,Best dietitians
popular_dietitians,Popularni dietetycy,Popular dietitians
best_recipes,Najlepsze przepisy,Best recipes
popular_recipes,Popularne przepisy,Popular recipes
new_recipes,Nowe przpisy,New recipes
add_weight,Dodaj wage,Add weight
add_tissue_fats,Dodaj tkanke tłuszczową,Add tissue fats
add_circuit,Dodaj obwód,Add circuit
portion_description,"Czyli jajko, kromka chleba, plasterek sera lub szynki",portion_description
package_description,"Opakowanie produktu, czyli np. cała butelka coca coli",package_description
file_too_large,Pliki za duże,Fille too large
total_size_the_files,Łączna wielkość plików nie może przekraczać 10 mb,The total size of the files cannot exceed 15MB
ok,Ok,Ok
recipe_edit,Edytuj przepis,Recipe edit
private_profile,Profil prywatny,Private profile
user_not_found,Użytkownik nieznaleziony,User not found
no_access,Brak dostępu,No access
community,Społeczność,Community
followers,Obserwujący,Followers
search_term_must_be_longer,Wyszukiwane hasło musi być dłuższe niż trzy litery,Search term must be longer than three letters
search_only_coach,Szukaj tylko trenerów,Search only coach
no_following,Brak obserwowanych,No following
no_followers,Brak obserwujących,No followers
no_recipes_created,Brak stworzonych przepisów,No recipes created
select_a_photo,Wybierz zdjęcie,Select a photo
gallery,Galeria,Gallery
camera,Aparat,Camera
avatar_updated_moment,Za chwile zdjęcie zostanie zaktualizowane,The photo will be updated in a moment
stats,Statystyki,Stats
days,Dni,days
months,Miesiące,months
years,Lata,Years
counter_steps,Liczba kroków,Steps count
burn_calories,Spalone kalorie,Burn calories
body_weight,Waga,Body weight
body_fat,Tkanka tłuszczowa,Body fats
eat_calories,Zjedzone kalorie,Eat calories
eat_proteins,Zjedzone białko,Eat proteins
eat_carbs,Zjedzone węglowodany,Eat carbs,
eat_fats,Zjedzony tłuszcz,Eat fats
no_data,Brak danych,No data
delete_recipe,Usuń przepis,Delete recipe
do_you_want_delete_a_recipe,Na pewno chcesz usunąć przepis?,Are you sure you want to delete the recipe?
